LOCATION CODE,COUNTY,AREA NAME,REGION,SCHOOL YEARS,NO. OVERWEIGHT,PCT OVERWEIGHT,NO. OBESE,PCT OBESE,NO. OVERWEIGHT OR OBESE,PCT OVERWEIGHT OR OBESE,GRADE LEVEL,AREA TYPE,STREET ADDRESS,CITY,STATE,ZIP CODE,Location 1
190901,GREENE,HUNTER-TANNERSVILLE CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2012-2014,,,,,,,ELEMENTARY,SCHOOL DISTRICT,PO BOX 1018,TANNERSVILLE,,12485,"(42.203997, -74.128614)"
190901,GREENE,HUNTER-TANNERSVILLE CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2012-2014,6,17.1%,,,6,17.1%,MIDDLE/HIGH,SCHOOL DISTRICT,PO BOX 1018,TANNERSVILLE,,12485,"(42.203997, -74.128614)"
191401,GREENE,WINDHAM-ASHLAND-JEWETT CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2012-2014,19,16.4%,10,8.6%,29,25%,DISTRICT TOTAL,SCHOOL DISTRICT,PO BOX 429,WINDHAM,,12496,"(42.323956, -74.259865)"
191401,GREENE,WINDHAM-ASHLAND-JEWETT CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2012-2014,11,18.3%,,,11,18.3%,ELEMENTARY,SCHOOL DISTRICT,PO BOX 429,WINDHAM,,12496,"(42.323956, -74.259865)"
191401,GREENE,WINDHAM-ASHLAND-JEWETT CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2012-2014,6,13.6%,,,6,13.6%,MIDDLE/HIGH,SCHOOL DISTRICT,PO BOX 429,WINDHAM,,12496,"(42.323956, -74.259865)"
200401,HAMILTON,INDIAN LAKE CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2012-2014,6,16.7%,11,30.6%,17,47.2%,DISTRICT TOTAL,SCHOOL DISTRICT,6345 NYS RT 30,INDIAN LAKE,,12842,"(43.760804, -74.246891)"
200401,HAMILTON,INDIAN LAKE CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2012-2014,,,5,100%,5,100%,ELEMENTARY,SCHOOL DISTRICT,6345 NYS RT 30,INDIAN LAKE,,12842,"(43.760804, -74.246891)"
200401,HAMILTON,INDIAN LAKE CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2012-2014,,,,,,,MIDDLE/HIGH,SCHOOL DISTRICT,6345 NYS RT 30,INDIAN LAKE,,12842,"(43.760804, -74.246891)"
200501,HAMILTON,INLET COMMON SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2012-2014,,,,,,,DISTRICT TOTAL,SCHOOL DISTRICT,PO BOX 207,INLET,,13360,"(43.742878, -74.744907)"
200501,HAMILTON,INLET COMMON SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2012-2014,,,,,,,ELEMENTARY,SCHOOL DISTRICT,PO BOX 207,INLET,,13360,"(43.742878, -74.744907)"
200501,HAMILTON,INLET COMMON SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2012-2014,,,,,,,MIDDLE/HIGH,SCHOOL DISTRICT,PO BOX 207,INLET,,13360,"(43.742878, -74.744907)"
200601,HAMILTON,LAKE PLEASANT CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2012-2014,19,23.2%,13,15.9%,32,39%,DISTRICT TOTAL,SCHOOL DISTRICT,PO BOX 140,SPECULATOR,,12164,"(43.539185, -74.357942)"
200601,HAMILTON,LAKE PLEASANT CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2012-2014,7,38.9%,,,7,38.9%,ELEMENTARY,SCHOOL DISTRICT,PO BOX 140,SPECULATOR,,12164,"(43.539185, -74.357942)"
200601,HAMILTON,LAKE PLEASANT CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2012-2014,,,,,,,MIDDLE/HIGH,SCHOOL DISTRICT,PO BOX 140,SPECULATOR,,12164,"(43.539185, -74.357942)"
200701,HAMILTON,LONG LAKE CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2012-2014,,,,,,,DISTRICT TOTAL,SCHOOL DISTRICT,PO BOX 217,LONG LAKE,,12847,"(43.968374, -74.559032)"
200701,HAMILTON,LONG LAKE CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2012-2014,,,,,,,ELEMENTARY,SCHOOL DISTRICT,PO BOX 217,LONG LAKE,,12847,"(43.968374, -74.559032)"
200701,HAMILTON,LONG LAKE CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2012-2014,,,,,,,MIDDLE/HIGH,SCHOOL DISTRICT,PO BOX 217,LONG LAKE,,12847,"(43.968374, -74.559032)"
200901,HAMILTON,WELLS CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2012-2014,5,18.5%,6,22.2%,11,40.7%,DISTRICT TOTAL,SCHOOL DISTRICT,PO BOX 300,WELLS,,12190,"(43.437665, -74.289368)"
200901,HAMILTON,WELLS CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2012-2014,,,,,,,ELEMENTARY,SCHOOL DISTRICT,PO BOX 300,WELLS,,12190,"(43.437665, -74.289368)"
200901,HAMILTON,WELLS CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2012-2014,,,6,100%,6,100%,MIDDLE/HIGH,SCHOOL DISTRICT,PO BOX 300,WELLS,,12190,"(43.437665, -74.289368)"
210302,HERKIMER,WEST CANADA VALLEY CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2014,50,15.4%,39,12%,89,27.4%,DISTRICT TOTAL,SCHOOL DISTRICT,PO BOX 360,NEWPORT,,13416,"(43.183538, -74.96782)"
210302,HERKIMER,WEST CANADA VALLEY CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2014,32,15.9%,18,9%,50,24.9%,ELEMENTARY,SCHOOL DISTRICT,PO BOX 360,NEWPORT,,13416,"(43.183538, -74.96782)"
210302,HERKIMER,WEST CANADA VALLEY CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2014,24,18.9%,21,16.5%,45,35.4%,MIDDLE/HIGH,SCHOOL DISTRICT,PO BOX 360,NEWPORT,,13416,"(43.183538, -74.96782)"
210402,HERKIMER,FRANKFORT-SCHUYLER CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2014,32,9.5%,38,11.3%,70,20.8%,DISTRICT TOTAL,SCHOOL DISTRICT,605 PALMER ST,FRANKFORT,,13340,"(43.050515, -75.115762)"
210402,HERKIMER,FRANKFORT-SCHUYLER CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2014,9,5.2%,6,3.5%,15,8.7%,ELEMENTARY,SCHOOL DISTRICT,605 PALMER ST,FRANKFORT,,13340,"(43.050515, -75.115762)"
210402,HERKIMER,FRANKFORT-SCHUYLER CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2014,23,13.9%,32,19.4%,55,33.3%,MIDDLE/HIGH,SCHOOL DISTRICT,605 PALMER ST,FRANKFORT,,13340,"(43.050515, -75.115762)"
210501,HERKIMER,ILION CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2014,131,21.9%,104,17.4%,235,39.2%,DISTRICT TOTAL,SCHOOL DISTRICT,1 GOLDEN BOMBER DR,ILION,,13357,"(42.982885, -75.066909)"
210501,HERKIMER,ILION CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2014,68,18%,74,19.6%,142,37.6%,ELEMENTARY,SCHOOL DISTRICT,1 GOLDEN BOMBER DR,ILION,,13357,"(42.982885, -75.066909)"
210501,HERKIMER,ILION CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2014,63,28.9%,30,13.8%,93,42.7%,MIDDLE/HIGH,SCHOOL DISTRICT,1 GOLDEN BOMBER DR,ILION,,13357,"(42.982885, -75.066909)"
210601,HERKIMER,HERKIMER CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2014,126,25.8%,42,8.6%,168,34.4%,DISTRICT TOTAL,SCHOOL DISTRICT,801 W GERMAN ST,HERKIMER,,13350,"(43.046568, -74.988232)"
210601,HERKIMER,HERKIMER CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2014,65,20.2%,29,9%,94,29.2%,ELEMENTARY,SCHOOL DISTRICT,801 W GERMAN ST,HERKIMER,,13350,"(43.046568, -74.988232)"
210601,HERKIMER,HERKIMER CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2014,51,32.7%,13,8.3%,64,41%,MIDDLE/HIGH,SCHOOL DISTRICT,801 W GERMAN ST,HERKIMER,,13350,"(43.046568, -74.988232)"
210800,HERKIMER,LITTLE FALLS CITY SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2014,79,20.1%,90,22.9%,169,43%,DISTRICT TOTAL,SCHOOL DISTRICT,15 PETRIE ST,LITTLE FALLS,,13365,"(43.060591, -74.847449)"
210800,HERKIMER,LITTLE FALLS CITY SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2014,51,22.6%,48,21.2%,99,43.8%,ELEMENTARY,SCHOOL DISTRICT,15 PETRIE ST,LITTLE FALLS,,13365,"(43.060591, -74.847449)"
210800,HERKIMER,LITTLE FALLS CITY SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2014,28,16.8%,42,25.1%,70,41.9%,MIDDLE/HIGH,SCHOOL DISTRICT,15 PETRIE ST,LITTLE FALLS,,13365,"(43.060591, -74.847449)"
211003,HERKIMER,DOLGEVILLE CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2014,53,17.1%,73,23.5%,126,40.6%,DISTRICT TOTAL,SCHOOL DISTRICT,38 SLAWSON ST,DOLGEVILLE,,13329,"(43.10872, -74.733339)"
211003,HERKIMER,DOLGEVILLE CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2014,30,15.8%,42,22.1%,72,37.9%,ELEMENTARY,SCHOOL DISTRICT,38 SLAWSON ST,DOLGEVILLE,,13329,"(43.10872, -74.733339)"
211003,HERKIMER,DOLGEVILLE CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2014,23,20%,31,27%,54,47%,MIDDLE/HIGH,SCHOOL DISTRICT,38 SLAWSON ST,DOLGEVILLE,,13329,"(43.10872, -74.733339)"
211103,HERKIMER,POLAND CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2014,20,21.7%,18,19.6%,38,41.3%,DISTRICT TOTAL,SCHOOL DISTRICT,PO BOX 8,POLAND,,13431,"(43.211598, -75.075027)"
211103,HERKIMER,POLAND CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2014,7,15.2%,12,26.1%,19,41.3%,ELEMENTARY,SCHOOL DISTRICT,PO BOX 8,POLAND,,13431,"(43.211598, -75.075027)"
211103,HERKIMER,POLAND CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2014,6,18.8%,5,15.6%,11,34.4%,MIDDLE/HIGH,SCHOOL DISTRICT,PO BOX 8,POLAND,,13431,"(43.211598, -75.075027)"
211701,HERKIMER,VAN HORNESVILLE-OWEN D YOUNG CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2014,5,10.4%,12,25%,17,35.4%,DISTRICT TOTAL,SCHOOL DISTRICT,PO BOX 125,VAN HORNESVILLE,,13475,"(42.892207, -74.834939)"
211701,HERKIMER,VAN HORNESVILLE-OWEN D YOUNG CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2014,,,,,,,ELEMENTARY,SCHOOL DISTRICT,PO BOX 125,VAN HORNESVILLE,,13475,"(42.892207, -74.834939)"
211701,HERKIMER,VAN HORNESVILLE-OWEN D YOUNG CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2014,,,,,,,MIDDLE/HIGH,SCHOOL DISTRICT,PO BOX 125,VAN HORNESVILLE,,13475,"(42.892207, -74.834939)"
211901,HERKIMER,TOWN OF WEBB UNION FREE SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2014,14,17.1%,8,9.8%,22,26.8%,DISTRICT TOTAL,SCHOOL DISTRICT,PO BOX 38,OLD FORGE,,13420,"(43.73549, -74.91032)"
211901,HERKIMER,TOWN OF WEBB UNION FREE SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2014,,,5,16.1%,5,16.1%,ELEMENTARY,SCHOOL DISTRICT,PO BOX 38,OLD FORGE,,13420,"(43.73549, -74.91032)"
211901,HERKIMER,TOWN OF WEBB UNION FREE SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2014,,,,,,,MIDDLE/HIGH,SCHOOL DISTRICT,PO BOX 38,OLD FORGE,,13420,"(43.73549, -74.91032)"
212001,HERKIMER,MOUNT MARKHAM CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2014,39,13.9%,66,23.6%,105,37.5%,DISTRICT TOTAL,SCHOOL DISTRICT,500 FAIRGROUND RD,WEST WINFIELD,,13491,"(42.865873, -75.177789)"
212001,HERKIMER,MOUNT MARKHAM CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2014,24,14.2%,32,18.9%,56,33.1%,ELEMENTARY,SCHOOL DISTRICT,500 FAIRGROUND RD,WEST WINFIELD,,13491,"(42.865873, -75.177789)"
212001,HERKIMER,MOUNT MARKHAM CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2014,15,13.5%,34,30.6%,49,44.1%,MIDDLE/HIGH,SCHOOL DISTRICT,500 FAIRGROUND RD,WEST WINFIELD,,13491,"(42.865873, -75.177789)"
220101,JEFFERSON,SOUTH JEFFERSON CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2014,121,18.1%,139,20.8%,260,38.9%,DISTRICT TOTAL,SCHOOL DISTRICT,PO BOX 10,ADAMS,,13605,"(43.808485, -76.053889)"
220101,JEFFERSON,SOUTH JEFFERSON CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2014,70,17.3%,82,20.3%,152,37.6%,ELEMENTARY,SCHOOL DISTRICT,PO BOX 10,ADAMS,,13605,"(43.808485, -76.053889)"
220101,JEFFERSON,SOUTH JEFFERSON CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2014,51,19.5%,57,21.8%,108,41.4%,MIDDLE/HIGH,SCHOOL DISTRICT,PO BOX 10,ADAMS,,13605,"(43.808485, -76.053889)"
220202,JEFFERSON,ALEXANDRIA CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2014,39,19.3%,43,21.3%,82,40.6%,DISTRICT TOTAL,SCHOOL DISTRICT,34 BOLTON AVE,ALEXANDRIA BAY,,13607,"(44.317344, -75.929396)"
220202,JEFFERSON,ALEXANDRIA CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2014,29,21.2%,28,20.4%,57,41.6%,ELEMENTARY,SCHOOL DISTRICT,34 BOLTON AVE,ALEXANDRIA BAY,,13607,"(44.317344, -75.929396)"
220202,JEFFERSON,ALEXANDRIA CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2014,7,11.3%,15,24.2%,22,35.5%,MIDDLE/HIGH,SCHOOL DISTRICT,34 BOLTON AVE,ALEXANDRIA BAY,,13607,"(44.317344, -75.929396)"
220301,JEFFERSON,INDIAN RIVER CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2014,286,17.4%,258,15.7%,544,33.1%,DISTRICT TOTAL,SCHOOL DISTRICT,32735-B COUNTY RT 29,PHILADELPHIA,,13673,"(44.161636, -75.712864)"
220301,JEFFERSON,INDIAN RIVER CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2014,197,16.9%,187,16%,384,32.9%,ELEMENTARY,SCHOOL DISTRICT,32735-B COUNTY RT 29,PHILADELPHIA,,13673,"(44.161636, -75.712864)"
220301,JEFFERSON,INDIAN RIVER CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2014,89,18.5%,71,14.8%,160,33.3%,MIDDLE/HIGH,SCHOOL DISTRICT,32735-B COUNTY RT 29,PHILADELPHIA,,13673,"(44.161636, -75.712864)"
220401,JEFFERSON,GENERAL BROWN CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2014,127,20.7%,124,20.2%,251,40.9%,DISTRICT TOTAL,SCHOOL DISTRICT,PO BOX 500,DEXTER,,13634,"(44.009636, -76.077752)"
220401,JEFFERSON,GENERAL BROWN CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2014,90,22.3%,80,19.9%,170,42.2%,ELEMENTARY,SCHOOL DISTRICT,PO BOX 500,DEXTER,,13634,"(44.009636, -76.077752)"
220401,JEFFERSON,GENERAL BROWN CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2014,37,17.1%,44,20.4%,81,37.5%,MIDDLE/HIGH,SCHOOL DISTRICT,PO BOX 500,DEXTER,,13634,"(44.009636, -76.077752)"
220701,JEFFERSON,THOUSAND ISLANDS CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2014,68,19.4%,56,16%,124,35.3%,DISTRICT TOTAL,SCHOOL DISTRICT,PO BOX 1000,CLAYTON,,13624,"(44.217985, -76.094551)"
220701,JEFFERSON,THOUSAND ISLANDS CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2014,43,21.8%,33,16.8%,76,38.6%,ELEMENTARY,SCHOOL DISTRICT,PO BOX 1000,CLAYTON,,13624,"(44.217985, -76.094551)"
220701,JEFFERSON,THOUSAND ISLANDS CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2014,25,16.2%,23,14.9%,48,31.2%,MIDDLE/HIGH,SCHOOL DISTRICT,PO BOX 1000,CLAYTON,,13624,"(44.217985, -76.094551)"
220909,JEFFERSON,BELLEVILLE-HENDERSON CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2014,35,19.2%,31,17%,66,36.3%,DISTRICT TOTAL,SCHOOL DISTRICT,PO BOX 158,BELLEVILLE,,13611,"(43.768968, -76.134381)"
220909,JEFFERSON,BELLEVILLE-HENDERSON CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2014,25,20.8%,20,16.7%,45,37.5%,ELEMENTARY,SCHOOL DISTRICT,PO BOX 158,BELLEVILLE,,13611,"(43.768968, -76.134381)"
220909,JEFFERSON,BELLEVILLE-HENDERSON CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2014,10,16.1%,11,17.7%,21,33.9%,MIDDLE/HIGH,SCHOOL DISTRICT,PO BOX 158,BELLEVILLE,,13611,"(43.768968, -76.134381)"
221001,JEFFERSON,SACKETS HARBOR CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2014,29,20.1%,21,14.6%,50,34.7%,DISTRICT TOTAL,SCHOOL DISTRICT,PO BOX 290,SACKETS HARBOR,,13685,"(43.936538, -76.100664)"
221001,JEFFERSON,SACKETS HARBOR CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2014,16,18.6%,14,16.3%,30,34.9%,ELEMENTARY,SCHOOL DISTRICT,PO BOX 290,SACKETS HARBOR,,13685,"(43.936538, -76.100664)"
221001,JEFFERSON,SACKETS HARBOR CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2014,13,22.4%,7,12.1%,20,34.5%,MIDDLE/HIGH,SCHOOL DISTRICT,PO BOX 290,SACKETS HARBOR,,13685,"(43.936538, -76.100664)"
221301,JEFFERSON,LYME CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2014,29,21.5%,33,24.4%,62,45.9%,DISTRICT TOTAL,SCHOOL DISTRICT,PO BOX 219,CHAUMONT,,13622,"(44.088436, -76.118692)"
221301,JEFFERSON,LYME CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2014,20,21.1%,22,23.2%,42,44.2%,ELEMENTARY,SCHOOL DISTRICT,PO BOX 219,CHAUMONT,,13622,"(44.088436, -76.118692)"
221301,JEFFERSON,LYME CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2014,5,17.9%,11,39.3%,16,57.1%,MIDDLE/HIGH,SCHOOL DISTRICT,PO BOX 219,CHAUMONT,,13622,"(44.088436, -76.118692)"
221401,JEFFERSON,LA FARGEVILLE CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2014,47,19.9%,69,29.2%,116,49.2%,DISTRICT TOTAL,SCHOOL DISTRICT,PO BOX 138,LA FARGEVILLE,,13656,"(44.194059, -75.949271)"
221401,JEFFERSON,LA FARGEVILLE CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2014,30,20.3%,39,26.4%,69,46.6%,ELEMENTARY,SCHOOL DISTRICT,PO BOX 138,LA FARGEVILLE,,13656,"(44.194059, -75.949271)"
221401,JEFFERSON,LA FARGEVILLE CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2014,17,20.2%,29,34.5%,46,54.8%,MIDDLE/HIGH,SCHOOL DISTRICT,PO BOX 138,LA FARGEVILLE,,13656,"(44.194059, -75.949271)"
222000,JEFFERSON,WATERTOWN CITY SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2014,213,16.7%,276,21.6%,489,38.3%,DISTRICT TOTAL,SCHOOL DISTRICT,1351 WASHINGTON ST,WATERTOWN,,13601,"(43.977155, -75.916148)"
222000,JEFFERSON,WATERTOWN CITY SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2014,153,16.7%,160,17.5%,313,34.2%,ELEMENTARY,SCHOOL DISTRICT,1351 WASHINGTON ST,WATERTOWN,,13601,"(43.977155, -75.916148)"
222000,JEFFERSON,WATERTOWN CITY SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2014,60,16.7%,116,32.2%,176,48.9%,MIDDLE/HIGH,SCHOOL DISTRICT,1351 WASHINGTON ST,WATERTOWN,,13601,"(43.977155, -75.916148)"
222201,JEFFERSON,CARTHAGE CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2014,176,20.2%,197,22.6%,373,42.8%,DISTRICT TOTAL,SCHOOL DISTRICT,25059 WOOLWORTH ST,CARTHAGE,,13619,"(43.979234, -75.608418)"
222201,JEFFERSON,CARTHAGE CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2014,115,20.1%,121,21.1%,236,41.2%,ELEMENTARY,SCHOOL DISTRICT,25059 WOOLWORTH ST,CARTHAGE,,13619,"(43.979234, -75.608418)"
222201,JEFFERSON,CARTHAGE CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2014,61,20.2%,70,23.2%,131,43.4%,MIDDLE/HIGH,SCHOOL DISTRICT,25059 WOOLWORTH ST,CARTHAGE,,13619,"(43.979234, -75.608418)"
230201,LEWIS,COPENHAGEN CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2014,26,16.8%,40,25.8%,66,42.6%,DISTRICT TOTAL,SCHOOL DISTRICT,PO BOX 30,COPENHAGEN,,13626,"(43.851021, -75.717457)"
230201,LEWIS,COPENHAGEN CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2014,15,15.6%,23,24%,38,39.6%,ELEMENTARY,SCHOOL DISTRICT,PO BOX 30,COPENHAGEN,,13626,"(43.851021, -75.717457)"
230201,LEWIS,COPENHAGEN CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2014,8,14.5%,17,30.9%,25,45.5%,MIDDLE/HIGH,SCHOOL DISTRICT,PO BOX 30,COPENHAGEN,,13626,"(43.851021, -75.717457)"
230301,LEWIS,HARRISVILLE CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2014,33,22.9%,31,21.5%,64,44.4%,DISTRICT TOTAL,SCHOOL DISTRICT,14371 PIRATE LN,HARRISVILLE,,13648,"(44.147742, -75.295069)"
230301,LEWIS,HARRISVILLE CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2014,19,20.4%,25,26.9%,44,47.3%,ELEMENTARY,SCHOOL DISTRICT,14371 PIRATE LN,HARRISVILLE,,13648,"(44.147742, -75.295069)"
230301,LEWIS,HARRISVILLE CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2014,14,34.1%,,,14,34.1%,MIDDLE/HIGH,SCHOOL DISTRICT,14371 PIRATE LN,HARRISVILLE,,13648,"(44.147742, -75.295069)"
230901,LEWIS,LOWVILLE ACADEMY & CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2014,91,16.9%,110,20.5%,201,37.4%,DISTRICT TOTAL,SCHOOL DISTRICT,7668 N STATE ST,LOWVILLE,,13367,"(43.798604, -75.472278)"
230901,LEWIS,LOWVILLE ACADEMY & CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2014,47,15.2%,64,20.7%,111,35.9%,ELEMENTARY,SCHOOL DISTRICT,7668 N STATE ST,LOWVILLE,,13367,"(43.798604, -75.472278)"
230901,LEWIS,LOWVILLE ACADEMY & CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2014,44,19.6%,46,20.5%,90,40.2%,MIDDLE/HIGH,SCHOOL DISTRICT,7668 N STATE ST,LOWVILLE,,13367,"(43.798604, -75.472278)"
231101,LEWIS,SOUTH LEWIS CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2014,65,17.4%,102,27.3%,167,44.8%,DISTRICT TOTAL,SCHOOL DISTRICT,PO BOX 10,TURIN,,13473,"(43.65377, -75.430199)"
231101,LEWIS,SOUTH LEWIS CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2014,39,18%,54,24.9%,93,42.9%,ELEMENTARY,SCHOOL DISTRICT,PO BOX 10,TURIN,,13473,"(43.65377, -75.430199)"
231101,LEWIS,SOUTH LEWIS CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2014,26,16.8%,48,31%,74,47.7%,MIDDLE/HIGH,SCHOOL DISTRICT,PO BOX 10,TURIN,,13473,"(43.65377, -75.430199)"
231301,LEWIS,BEAVER RIVER CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2014,46,18.2%,48,19%,94,37.2%,DISTRICT TOTAL,SCHOOL DISTRICT,PO BOX 179,BEAVER FALLS,,13305,"(43.885059, -75.433744)"
231301,LEWIS,BEAVER RIVER CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2014,32,19.6%,29,17.8%,61,37.4%,ELEMENTARY,SCHOOL DISTRICT,PO BOX 179,BEAVER FALLS,,13305,"(43.885059, -75.433744)"
231301,LEWIS,BEAVER RIVER CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2014,14,15.6%,19,21.1%,33,36.7%,MIDDLE/HIGH,SCHOOL DISTRICT,PO BOX 179,BEAVER FALLS,,13305,"(43.885059, -75.433744)"
240101,LIVINGSTON,AVON CENTRAL SCHOOL DISTRICT,FINGER LAKES,2012-2014,63,16.6%,50,13.2%,113,29.8%,DISTRICT TOTAL,SCHOOL DISTRICT,191 CLINTON ST,AVON,,14414,"(42.89327, -77.727866)"
240101,LIVINGSTON,AVON CENTRAL SCHOOL DISTRICT,FINGER LAKES,2012-2014,36,17.5%,16,7.8%,52,25.2%,ELEMENTARY,SCHOOL DISTRICT,191 CLINTON ST,AVON,,14414,"(42.89327, -77.727866)"
240101,LIVINGSTON,AVON CENTRAL SCHOOL DISTRICT,FINGER LAKES,2012-2014,27,16.1%,30,17.9%,57,33.9%,MIDDLE/HIGH,SCHOOL DISTRICT,191 CLINTON ST,AVON,,14414,"(42.89327, -77.727866)"
